Unnamed: 0,Eepi,Kepi,Kstroma,eyelid-pressure,thickness_central 1d,thickness_central 4d,thickness_midperi 1d,thickness_midperi 4d,power_eye 1d,power_eye 4d,R_n 1d,R_n 4d,error
322,0.0012684256511889033,1.5691514741537885e-06,0.0010556114115167887,0.00016575142174653102,-0.0040200382441446594,-0.005280056083378691,0.0005331039097742074,0.0008324957571528777,-1.4634438042884383,-1.7872087520357454,7.858989757024954,7.918690002322198,242.67153644949366
323,0.0010178471972109178,1.1770725218114674e-06,0.001089941239722772,0.00024985393165489204,-0.004840033589503849,-0.006840063207399209,0.0007615769345419715,0.0015047792875533192,-1.6811337484120727,-2.0598413120172268,7.899030775850093,7.969669741706566,192.28135129148652
324,0.0014599978318886695,2.4370394661110544e-06,0.0008513865766768174,0.0002386864686072273,-0.004730048648107658,-0.005550059602885689,0.0008508702286993061,0.000988761774195282,-1.6156598402064901,-1.661598788268222,7.886944928565409,7.8954209367293675,224.63894062498233
325,0.0008987630583594897,2.3350702111764665e-06,0.002415124034309137,0.0002379683489897125,-0.005440051282624633,-0.007010074115726017,0.001066207740766309,0.0015980248126500965,-1.7418115944259327,-1.8419187851470795,7.910264433541987,7.928867891646694,180.1830813176897
326,0.001039196859428982,7.715954396255494e-07,0.0013178587127968661,0.00016440308267824747,-0.003740026933227912,,0.0003991658383792271,,-1.364889520237945,,7.8409952627983985,,
327,0.0010579363547219439,1.194378925100016e-06,0.00283720012457813,0.00015166040144524298,-0.003810030638930789,-0.005460052913820457,0.0004477573691317807,0.0008640035552167774,-1.3865751894685658,-1.8754537219874976,7.844947657366879,7.935119451106202,241.6545750548589
328,0.0011564894302075455,9.225825460049177e-07,0.0018920008755608114,0.00021269074894089996,-0.004170029437319235,-0.0060300549226519826,0.0005370513332455598,0.0010832912645841047,-1.4861915171666311,-1.9806171603248544,7.863154876978151,7.954788034450749,222.30730823892685
329,0.0010135634406964883,2.5564113659911516e-06,0.003080578718688964,0.00016013570850740178,-0.004430046624982031,-0.005500061755328085,0.0006946069648991263,0.0009047049135714608,-1.5475984078197484,-1.6939635959297377,7.8744205921755555,7.9014033825777945,231.446107443998
330,0.0013456591336555967,1.0150134455958565e-06,0.004273977286759578,0.00016866974122304134,-0.003580030789291186,-0.005130050427120378,0.00040311176554102407,0.0007523891755383677,-1.3054042511001285,-1.7852640612931268,7.830173992188289,7.918328705919392,253.21702453926736
331,0.001208272554176342,9.532369840294952e-07,0.0007665365690228702,0.00023330188310166015,-0.0043600287719918335,,0.0006000737835251679,,-1.560598030382721,,7.876809645942509,,
332,0.0007810999677527107,1.4516103383124847e-06,0.001140071459577713,0.00015084490648362505,-0.0043900371879294076,,0.0006000730978210911,,-1.585741725313376,,7.881434637561009,,
